Time,ajankaytto,tyo_materiaali,tyo_harjoitukset,haaste_materiaali,haaste_harjoitukset,hyodyllisyys,innostavuus,soveltuvuus,mita_opin,vapaa_palaute
2016-05-25 18:52:46.460979+00:00,4,2,2,2,2,2,2,2,"",""
2016-05-25 17:21:16.662872+00:00,2,2,2,2,2,2,2,2,"",""
2016-05-25 10:39:49.787696+00:00,0,2,2,2,2,2,1,3,"Mielenkiintoisia ideoita muiden diplomitöistä. ","Vertaisarvioinnin palaute osion olisi, ehkä voinut toteuttaa jotenkin toisella tavalla. Esim, siten että kommentteja olisi pystynyt jättämään kaikille näkyviin, ehkä näin olisi saanut keskustelua aikaan."
2016-05-25 10:27:45.875321+00:00,6,2,2,2,2,3,3,3,"Opin, mitä algoritminen ajattelu on. Opetushallituksen tavoitteita tieto- ja viestintäteknologisessa osaamisessa.","Kehotteesta lukea artikkeleita oli hyötyä. Koska ohjelmointi opetuksessa on vielä uusi aihe minulle, löysin lisää oleellista tietoa."
2016-05-24 18:51:56.700452+00:00,5,2,2,2,2,3,3,3,"Opin tekemään pelin DrRacketilla ja pohdin samalla kuinka voin kirjoittaa siihen niin selkeät ohjeet, että muut osaisivat koodata pelin ohjeista.",""
2016-05-24 10:28:50.245165+00:00,3,2,2,2,2,2,2,3,"Oli hyvä koota ajatuksia yhteen kurssin lopuksi, kaiken kiireen keskellä sitä oli oikeasti ehkä oppinut jotain ja sisäistänyt mikä ohjelmoinnin opetuksessa on tärkeää.",""
2016-05-23 22:23:47.385619+00:00,2,2,2,2,2,3,2,3,"Opetussuunnitelman sisällöstä ohjelmointiin liittyen",""
2016-05-23 16:52:30.692933+00:00,2,2,2,2,2,3,2,4,"Koodaamista voi soveltaa todella moniin aiheisiin, mutta se vaatii valmistautumista.","Kiitos kurssista."
2016-05-22 18:33:48.128720+00:00,1,2,2,2,2,3,3,2,"","Homma toimii ihan hyvin teidän asettamissanne tavoitteissa, mutta palauttamiskanavat ja -ohjeet ovat niin sekaisin, että lähes jokaisella kerralla jouduin käyttämään tehtävän palauttamisen ihmettelyyn yli 30% koko tehtävään käyttämästäni ajasta. Aiheuttaa melkoisesti harmaita hiuksia, toivottavasti kehitytte tässä. Siis yksi, toimiva kanava palautuksiin!"
2016-05-22 16:32:09.390514+00:00,5,2,2,2,2,3,3,3,"Katselin paljon toisten diplomi töitä ja siellä oli pajon erilaisia ideoita, joita voisi lähteä kokeilemaan oppilaiden kanssa. Oli valmiita tuntisuunnitelmia jne. Kiitos kaikille niistä. 
2016-05-20 16:26:00.637699+00:00,4,2,2,2,2,3,2,2,"Hahmottelin ohjelmoinnin roolia OPS:in kannalta",""
2016-05-17 13:31:37.040305+00:00,5,2,2,2,2,3,3,4,"Opin suunnittelemaan oman tehtävän. Tehtävien suunnitteleminen on haastavaa mutta mahdollista","Kiitos mielenkiintoisesta kurssista! :)"
2016-05-16 08:56:05.372190+00:00,2,2,2,2,2,4,3,4,"Jäsentämään omia ajatuksia ja sain hienoja ideoita muitten töistä.","Kiitoksia koko kurssista. Olette tehneet hienoa työtä!"
2016-05-15 17:04:27.513824+00:00,0,2,2,2,2,3,3,3,"Turtle yhdistettynä leimoihin!",""
2016-05-13 13:04:15.875847+00:00,5,2,2,2,2,3,3,4,"En ole oikein osannut vastata tähän kysymykseen aikaisemmilla viikoilla. Nyt kun pääsin ensimmäistä kertaa siihen pisteeseen, että vein ohjelmointia oppitunneille, niin huomaan oppineeni koko kurssin aikana monenmoista. Opettamisen kannalta olisi vielä oleellista opetella käsitteitä. Innostun itse ohjelmoimaan, enkä muista opetella, miten innostuksesta kerrotaan muille.","Kurssi on ollut oikein antoisa ja aikatauluiltaan sopiva. Kun sitten kuitenkin palautuspäivämääriä vähän lykättiin, niin palautuksia tuli lykättyä itsekin. Enkä varmaan ole ainoa, jolla hommat tulevat tehdyiksi vasta sitten, kun on pakko.
2016-05-13 08:28:12.501820+00:00,3,2,2,2,2,4,3,4,"",""
2016-05-12 21:49:44.292991+00:00,5,2,2,2,2,3,3,4,"Yhdistin kurssilla oppimiani asioita fysikaalisten suureiden havainnollistamiseen. 
2016-05-12 17:14:20.001897+00:00,3,2,2,2,2,4,3,4,"Tein opintokokonaisuuden ohjelmointiin 7 lk:n matematiikkaan kurssimateriaalin pohjalta. Suunnitelman tekeminen opetusta varten. Opin, ettei kannata tehdä liian vaikeita harjoituksia ja harjoitukset voi vielä pilkkoa pienempiin osiin, jotta se on helpommin opetettavissa. Tehtävät kannattaa aluksi pitää tarpeeksi helppoina ja lähtökohtana on oma osaaminen. ",""
2016-05-12 05:55:03.882235+00:00,0,2,2,2,2,3,2,3,"Tämän työn myötä olen saanut ideoita käytännön toteutukseen, Olen miettinyt, miten voisi ottaa ohjelmoinnin osaksi matematiikan opetusta ja miten ohjelmoinnista voisi saada tukea opiskeluun. Myös toisten kurssilaisten pohdintoja oli mielenkiintoista lukea vertaisarvioinnnissa. Niistäkin sai uusia näkökulmia.",""
2016-05-11 20:27:01.027130+00:00,3,2,2,2,2,4,4,4,"Tällä viikolla tulin löytäneeksi netistä erilaisia koodaamiseen liittyviä sivustoja, joihin aion tutustua paremmin. Nyt myös ehdin ensimmäistä kertaa oikeasti miettimään, mihin aihealueisiin koodaamista voisi yhdistää ja miten koodaamisen opetusta voisi käytännössä toteuttaa.","Tämä viimeinen työ oli innostava ja todella hyödyllinen. Oli hyvä saada aikaa omalle pohdinnallekin."
2016-05-11 08:41:18.609053+00:00,3,1,2,3,2,2,1,1,"Sain ideoita miten ohjelmointia voisi hyödyntää opetuksessa.",""
2016-05-11 08:06:14.899174+00:00,3,2,2,2,2,2,2,2,"Tapoja, joilla voin ottaa ohjelmoinnin osaksi opetusta.",""
2016-05-09 18:42:39.407094+00:00,3,1,1,1,1,3,3,3,"Tämä osio oli tosiaan haastavin, muissa saattoi tehdä jonkin koodinpätkän/ratkaisun, mutta nyt piti todella pohtia. Varsinaisesti pääsin alkuun, kun katsoin jonkun muun kirjoitusta. Silti piti tuntua, että laadin omaa kirjoitustani. Koin opintosuunnitelman tai tehtävän laatimisen jopa liian haastavaksi näin pikaisesti, mutta uskoisn, että sellaiseen sain ajatuksia kuitenkin. ","Saattaa olla, että olisi ollut hyvä, jos tämä tehtävä olisi ollut 'auki' heti alussa. Silloin ehkä olisi voinut ajatella ja suunnitella muita ratkaisuja siten, että niiden pohjalta olisi voinut esim. koota kurssisuunnitelman. 
2016-05-09 18:05:53.568401+00:00,6,2,2,2,2,4,4,4,"Aikapula on ainainen ongelma. Mielestäni tämän Racket kurssin lähes kaikki tehtävät liittyisivät johonkin matematiikan osa-alueeseen, mutta kun aloitin laskemaan, että kuinka kauan minulla on niiden tekemiseen mennyt, niin jonkun vuosiluokan matematiikat saisi vaihtaa koodaamiseen! Tajusin myös, että tällä hetkellä oppilaat ovat aika pitkälle koodaustaidottomia eli aika perustehtävillä on lähdettävä liikkeelle, mutta kuuden vuoden kuluttua meillä on seiskalla taitavaa joukkoa ja sitten on haastavempien tehtävien vuoro. No tuskin sentään ihan näin suoraviivaisesti kuljetaan, mutta suuta on varmasti tämä. Ja hoksasin myös että minullakin on jokunen vuosi aikaa kerätä kokemuksia ja kehittää osaamistani, vielä ensi syksynä ei tarvitse ihan kaikkea osata.","Kaikki oli taas niin kohdillaan, kun olla voi. Kehitysideana mietin sitä, että voisikohan muiden kurssilaisten töihinkin saada jonkinlaisen käyttöoikeuden. Arvioin juuri niin erinomaisesti suunnitellun tehtävän ysiluokan matematiikkaan, että mielelläni sitä käyttäisin ihan sellaisenaan. Nyt taidan laittaa tekijälle suoraan sähköpostia ja kysyä käyttölupaa. Mutta ehkä käyttöluvan voisi antaa jotenkin samalla, kun lataa työnsä, jos sellaisen haluaa muille antaa."
2016-05-09 03:41:42.771926+00:00,2,2,2,2,2,3,3,3,"",""
2016-05-09 03:37:06.234313+00:00,3,2,1,2,2,2,2,3,"Opin OPSiin liittyvistä ohjelmoinnin asioista ja diplomityötä tehdessäni jouduin myös miettimään ohjelmoinnin opettamista, siihen liittyviä aikataulutusta jne.",""
